run,split,N,mass_ratio,Q_tag,Q_soft,Q_unsoft,amp_factor,old_metric,new_metric,old_fail,conv_residual,dt,h_over_tcrossE,h_over_tcrossU,max_n_sub,force_evals,min_sep,min_sep_over_eps,jump_share,n_snapshots
cluster_01069.h5,train,4,7,1.44582,1.44619,1.44582,0.276905,0.00206831,0.000572725,False,0,0.01,0.00998621,0.0685337,253,553488,0.009064,4.532,0.084904,100
cluster_01070.h5,train,4,10,0.350193,0.350204,0.350193,0.824898,0.003608,0.00297623,False,1.45715e-16,0.01,0.00999944,0.0133467,277,319992,0.00255231,1.27615,0.137499,105
cluster_01071.h5,train,4,10,0.414509,0.414519,0.414509,0.79274,0.00453368,0.00359403,False,0,0.01,0.00999955,0.0141672,278,349623,0.00319319,1.5966,0.209137,102
cluster_01072.h5,train,4,10,0.466128,0.466141,0.466128,0.766929,9.79513e-05,7.51218e-05,False,0,0.01,0.00999946,0.0148882,229,279123,0.0196162,9.80809,0.161727,100
cluster_01073.h5,train,4,10,0.547889,0.547905,0.547889,0.726048,7.71881e-05,5.60423e-05,False,0,0.01,0.00999942,0.0161632,185,430056,0.0229797,11.4898,0.0921498,100
cluster_01074.h5,train,4,10,0.625318,0.625336,0.625318,0.687332,0.00150784,0.00103639,False,2.09227e-16,0.01,0.00999937,0.0175478,269,449694,0.00879426,4.39713,0.148368,100
cluster_01075.h5,train,4,10,1.15662,1.15675,1.15662,0.421626,0.000171482,7.23013e-05,False,0,0.01,0.00999607,0.0365122,198,388494,0.022963,11.4815,0.0582652,100
cluster_01076.h5,train,4,10,1.25268,1.25283,1.25268,0.373583,0.00653924,0.00244295,False,0,0.01,0.00999506,0.0437728,277,374817,0.00326011,1.63005,0.115492,109
cluster_01077.h5,train,4,10,1.2922,1.29238,1.2922,0.35381,0.000509965,0.000180431,False,1.50224e-16,0.01,0.00999419,0.047489,270,352947,0.0107233,5.36167,0.106876,100
cluster_01078.h5,train,4,10,1.38025,1.38052,1.38025,0.309739,0.233097,0.0721991,True,0,0.01,0.00999027,0.0579541,280,584784,0.00285943,1.42972,0.195154,102
cluster_01079.h5,train,4,10,1.43935,1.43974,1.43935,0.28013,0.000396249,0.000111001,False,1.22093e-16,0.01,0.00998554,0.0673492,273,753810,0.0234971,11.7486,0.153211,100
cluster_01080.h5,train,5,1,0.355899,0.355902,0.355899,0.822049,0.000174576,0.00014351,False,0,0.01,0.00999987,0.0134168,172,153066,0.0451928,22.5964,0.126017,100
cluster_01081.h5,train,5,1,0.450855,0.450859,0.450855,0.77457,0.00161704,0.00125251,False,0,0.01,0.00999985,0.014669,173,171021,0.004444,2.222,0.283048,102
cluster_01082.h5,train,5,1,0.534834,0.534838,0.534834,0.732581,0.000225229,0.000164999,False,0,0.01,0.00999985,0.0159481,170,218478,0.0179618,8.98092,0.100162,100
cluster_01083.h5,train,5,1,0.555453,0.555468,0.555453,0.722266,0.00837489,0.0060489,False,1.43392e-16,0.01,0.00999946,0.0162904,174,290817,0.00384723,1.92361,0.30994,102
